"region_name","region","code_region","total_population","densite_pop_2022","niveau_vie_median_annuel","intensite_pauvrete_pct","pct_non_scol15","nb_sejours","age_moyen","dms_nuitees","deaths_est","pct_deces","tx_sejours_sepsis_100k","cluster"
"AUVERGNE-RHONE-ALPES","84 - AUVERGNE-RHÔNE-ALPES","84",8163884,117.1,23800,20.2,88.3105833245513,6803,68,20,2530.716,0.372,83.3304343863779,"1"
"BOURGOGNE-FRANCHE-COMTE","27 - BOURGOGNE-FRANCHE-COMTÉ","27",2803977,58.7,22750,19.1,90.3092421930622,2758,70.9,17,1230.068,0.446,98.3602932549019,"1"
"BRETAGNE","53 - BRETAGNE","53",3422845,125.8,23240,18.8,88.5545638363061,2060,68.4,18.5,852.84,0.414,60.183852905989,"1"
"CENTRE-VAL DE LOIRE","24 - CENTRE-VAL DE LOIRE","24",2581597,65.9,22780,19.7,90.1616934031983,1776,69.8,18.7,777.888,0.438,68.7946259621467,"1"
"CORSE","94 - CORSE","94",351276,40.5,22390,21.2,91.3976778766632,248,72.2,17.8,107.88,0.435,70.5997563169701,"1"
"GRAND EST","44 - GRAND EST","44",5560079,96.8,22960,20.8,89.5414016266861,5296,69.3,19,2277.28,0.43,95.2504451825235,"1"
"GUADELOUPE","01 - GUADELOUPE","01",383569,235.5,15720,24.8,89.5876566967638,487,63.9,17.5,189.93,0.39,126.96542212744,"2"
"GUYANE","03 - GUYANE","03",288382,3.5,11040,40.4,84.1343863633509,130,52.2,23.9,56.03,0.431,45.0790964762017,"3"
"HAUTS-DE-FRANCE","32 - HAUTS-DE-FRANCE","32",5998916,188.6,21420,19.5,88.5704784602437,5826,67.4,18.3,2528.484,0.434,97.1175459032932,"1"
"ILE-DE-FRANCE","11 - ILE-DE-FRANCE","11",12380964,1030.7,25210,23.7,85.2249639531145,9457,65.9,23.6,3962.483,0.419,76.383389855588,"4"
"LA REUNION","04 - LA RÉUNION","04",881348,352,17070,24,87.1844092896805,873,61.8,18.1,311.661,0.357,99.052814552254,"2"
"MARTINIQUE","02 - MARTINIQUE","02",361019,320.1,19770,24.1,90.7851540999078,278,65.7,21.4,125.934,0.453,77.0042573936552,"1"
"NORMANDIE","28 - NORMANDIE","28",3339074,111.8,22480,19.3,89.3945326093801,2550,68.3,18.4,1144.95,0.449,76.3684782068322,"1"
"NOUVELLE-AQUITAINE","75 - NOUVELLE-AQUITAINE","75",6113384,72.7,22710,19.9,89.6667490032578,4978,68.6,18.4,2080.804,0.418,81.4278965626893,"1"
"OCCITANIE","76 - OCCITANIE","76",6080731,83.6,22010,21,88.4290024725232,5120,69.7,18.5,1981.44,0.387,84.2004028791933,"1"
"PAYS DE LA LOIRE","52 - PAYS DE LA LOIRE","52",3879216,120.9,23050,18.5,88.0130850488088,2480,68.1,18.2,934.96,0.377,63.9304436772791,"1"
"PROVENCE-ALPES-COTE D'AZUR","93 - PROVENCE-ALPES-CÔTE D'AZU","93",5170312,164.7,22820,22,89.329700053374,5160,69.1,19.6,2156.88,0.418,99.8005536222959,"1"
